name,address,city,country,site_link,source_url
1776 Restaurant,"397 W Virginia St, Crystal Lake, IL 60014",Chicago,United States,https://1776restaurant.com,https://thebestrestaurantsguide.com/restaurants/1776-restaurant
1789 Restaurant & Bar,"1226 36th St NW, Washington, DC 20007",Washington D.C,United States,https://www.1789restaurant.com,https://thebestrestaurantsguide.com/restaurants/1789-restaurant-and-bar
1789 — temporaire - Köhlerstube,"Tonbachstraße 237 72270 Baiersbronn, Germany",Baiersbronn,Germany,https://www.traube-tonbach.de,https://thebestrestaurantsguide.com/restaurants/1789-temporaire-kohlerstube
180° by Matthias Diether,"Staapli 4, 10415 Tallinn, Estonia",Tallinn,Estonia,https://www.180degrees.ee,https://thebestrestaurantsguide.com/restaurants/180-degrees
1800 Lasagne,"653 High St, Thornbury VIC 3071, Australia",Melbourne,Australia,https://www.1800lasagne.com.au,https://thebestrestaurantsguide.com/restaurants/1800-lasagne
1804 Hirschau,"Gyßlingstraße 15, 80805 München, Germany",Munich,Germany,https://www.1804muc.de,https://thebestrestaurantsguide.com/restaurants/1804-hirschau
180 Grammi Pizzeria Romana,"Via Genazzano, 32, 00177 Roma RM, Italy",Rome,Italy,https://180gpizzeriaromana.com,https://thebestrestaurantsguide.com/restaurants/180g-pizzeria-romana
1824 Bar,"27 St Stephen's Green, Dublin, Co. Dublin City, Ireland",Dublin,Ireland,https://www.marriott.com/en-us/hotels/dubdt-the-shelbourne-autograph-collection/dining,https://thebestrestaurantsguide.com/restaurants/1824-bar
1826 Restaurant,"Nemesio Diez 11, Zona Centro, 37700 San Miguel de Allende, Gto., Mexico",San Miguel de Allende,Mexico,https://www.rosewoodhotels.com/en/san-miguel-de-allende/dining/1826-restaurant,https://thebestrestaurantsguide.com/restaurants/1826-restaurant
1856 - Culinary Residence,"205 S College St, Auburn, AL 36830",Auburn,United States,https://auburn1856.com,https://thebestrestaurantsguide.com/restaurants/1856-culinary-residence
1863 Restaurant with Rooms,"Elm House, High St, Pooley Bridge, Penrith CA10 2NH, United Kingdom",Penrith,United Kingdom,https://1863ullswater.co.uk,https://thebestrestaurantsguide.com/restaurants/1863-restaurant-with-rooms
1865 Wine Cellar,"101 Mountain View Rd, Whitefield, NH 03598",Whitefield,United States,https://www.mountainviewgrand.com/mountain-view-wine-cellar-restaurant,https://thebestrestaurantsguide.com/restaurants/1865-wine-cellar
1876 Daniel Dal-Ben,"Grunerstraße 42A, 40239 Düsseldorf, Germany",Düsseldorf,Germany,https://www.1876.restaurant,https://thebestrestaurantsguide.com/restaurants/1876-daniel-dal-ben
1884 Restaurante,"Belgrano 1188, M5501 Godoy Cruz, Mendoza, Argentina",Mendoza,Argentina,https://1884restaurante.com.ar,https://thebestrestaurantsguide.com/restaurants/1884-restaurante
1885 Grill — Acworth," 4438 Cherokee St, Acworth, GA 30101",Acworth,United States,https://1885grill.com,https://thebestrestaurantsguide.com/restaurants/1885-grill-acworth
1885 Grill — Ooltewah,"9469 Bradmore Ln #101, Ooltewah, TN 37363",Chattanooga,United States,https://1885grill.com,https://thebestrestaurantsguide.com/restaurants/1885-grill-ooltewah
1885 Grill — St Elmo,"3914 St Elmo Ave, Chattanooga, TN 37409",Chattanooga,United States,https://1885grill.com,https://thebestrestaurantsguide.com/restaurants/1885-grill-st-elmo
1887,"Torridon Hotel, Annat, By Achnasheen, Torridon, IV22 2EY, United Kingdom",Torridon,Scotland,https://www.thetorridon.com/eat-drink/1887-restaurant,https://thebestrestaurantsguide.com/restaurants/1887-restaurant-the-torridon
1888 CHOP HOUSE,"405 Spray Ave, Banff, AB T1L 1J4, Canada",Banff,Canada,https://www.1888chophouse.com,https://thebestrestaurantsguide.com/restaurants/1888-chop-house
1889 Enoteca,"10-12 Logan Rd, Woolloongabba QLD 4102, Australia",Brisbane,Australia,https://www.1889enoteca.com.au,https://thebestrestaurantsguide.com/restaurants/1889-enoteca
1895 Grille,"155 Cherokee Rd, Pinehurst, NC 28374",Pinehurst,United States,https://www.pinehurst.com/dining/the-1895-grille,https://thebestrestaurantsguide.com/restaurants/1895-grille
1906 at Longwood Gardens,"1001 Longwood Rd, Kennett Square, PA 19348, USA",Kennett Square,United States,https://longwoodgardens.org/dine/1906,https://thebestrestaurantsguide.com/restaurants/1906-at-longwood-gardens
1910 Gourmet by Hausers,"Dorfstrasse 53, Grindelwald, 3818, Switzerland",Grindelwald,Switzerland,https://www.belvedere-grindelwald.ch/de/restaurant/gourmet-1910,https://thebestrestaurantsguide.com/restaurants/1910-gourmet-by-hausers
1919 Restaurant,"1055 Ashford Ave, San Juan, 00907, Puerto Rico",San Juan,Puerto Rico,https://www.condadovanderbilt.com/condado-1919-restaurant,https://thebestrestaurantsguide.com/restaurants/1919-restaurant
1921 Angel Hill,"19-21 Angel Hill, Bury Saint Edmunds IP33 1UZ, United Kingdom",Bury St Edmunds,United Kingdom,https://nineteen-twentyone.co.uk,https://thebestrestaurantsguide.com/restaurants/1921-angel-hill
1921 Mount Dora,"142 E 4th Ave, Mt Dora, FL 32757, USA",Mt Dora,United States,https://www.1921mountdora.com,https://thebestrestaurantsguide.com/restaurants/1921-mount-dora
1921 Restaurant,"Hotel Casino Carrasco, Rambla República de México 6451, 11500 Montevideo, Departamento de Montevideo, Uruguay",Montevideo,Uruguay,https://sofitel.accor.com/en/hotels/7969.html,https://thebestrestaurantsguide.com/restaurants/1921-restaurant
1925 at The Pompadour,"Princes Street Waldorf Astoria Edinburgh - The Caledonian, Edinburgh EH1 2AB, United Kingdom",Edinburgh,Scotland,https://www.hilton.com/en/hotels/ednchqq-the-caledonian-edinburgh/dining/dean-banks-at-the-pompadour,https://thebestrestaurantsguide.com/restaurants/1925-at-the-pompadour
1930 (Bar),"Secret Location, Milan, Italy",Milan,Italy,https://www.farmilygroup.com,https://thebestrestaurantsguide.com/restaurants/1930-bar
1949 - Duck de Chine,"98 Jinbao Street, Beijing, China",Beijing,China,https://elite-concepts.com,https://thebestrestaurantsguide.com/restaurants/1949-duck-de-chine
2 Johns Steak & Seafood,"2151 Airline Dr, Bossier City, LA 71111",Shreveport,United States,https://www.2johnsrestaurant.com,https://thebestrestaurantsguide.com/restaurants/2-johns-steak-and-seafood
2 Spring," 2 Spring St, Oyster Bay, NY 11771",Long Island,United States,https://www.2springstreet.com,https://thebestrestaurantsguide.com/restaurants/2-spring
20 Chapel,"20 Chapel St, Marrickville NSW 2204, Australia",Sydney,Australia,https://20chapel.com.au,https://thebestrestaurantsguide.com/restaurants/20-chapel
21 Club Steak & Seafood,"6380 Fallsview Blvd, Niagara Falls, ON L2G 7X5, Canada",Niagara Region,Canada,https://www.fallsviewcasinoresort.com/dining/business/21-club,https://thebestrestaurantsguide.com/restaurants/21-club-steak-and-seafood
21 Grams,"Floor 2, Meyan Mall, Al Thanya St, Umm Suqeim 2, Dubai, UAE",Dubai,United Arab Emirates,http://21grams.me,https://thebestrestaurantsguide.com/restaurants/21-grams
21212,"3 Royal Terrace, Edinburgh EH7 5AB, United Kingdom",Edinburgh,Scotland,https://www.21212restaurant.co.uk,https://thebestrestaurantsguide.com/restaurants/21212
21.9,"località, Via Carretta, 4, 12040 Piobesi d'Alba CN, Italy",Piobesi d'Alba,Italy,https://www.ristorante21punto9.it/21punto9.asp,https://thebestrestaurantsguide.com/restaurants/219
221 South Oak,"221 S Oak St, Telluride, CO 81435",Telluride,United States,https://www.221southoak.com,https://thebestrestaurantsguide.com/restaurants/221-south-oak
24 Suns,"3375 Mission Ave j, Oceanside, CA 92058, USA",San Diego,United States,https://24sunsdining.com,https://thebestrestaurantsguide.com/restaurants/24-suns
28+,"Götabergsgatan 28, 411 34 Göteborg, Sweden",Göteborg,Sweden,http://www.28plus.se,https://thebestrestaurantsguide.com/restaurants/28
28 HongKong Street (Bar),"28 Hongkong St, Singapore 059667",Singapore,Singapore,https://28hks.com,https://thebestrestaurantsguide.com/restaurants/28-hongkong-street
28 Posti,"Via Corsico, 1, 20144 Milano MI, Italy",Milan,Italy,https://www.28posti.org,https://thebestrestaurantsguide.com/restaurants/28-posti
29,"Ulus, Sok, Ahmet Adnan Saygun Cd. No:71/1, 34340 Beşiktaş/İstanbul, Türkiye",Istanbul,Turkey,https://www.29.com.tr,https://thebestrestaurantsguide.com/restaurants/29
2941 Restaurant,"2941 Fairview Park Dr, Falls Church, VA 22042",Falls Church,United States,https://www.2941.com,https://thebestrestaurantsguide.com/restaurants/2941-restaurant
2KW Bar & Restaurant,"2 King William St, Adelaide SA 5000, Australia",Adelaide,Australia,https://2kwbar.com.au,https://thebestrestaurantsguide.com/restaurants/2kw
2M Smokehouse,"2731 S WW White Rd, San Antonio, TX 78222",San Antonio,United States,https://www.2msmokehouse.com,https://thebestrestaurantsguide.com/restaurants/2m-smokehouse
2Monkeys,"R. Câmara Pestana 23, 1150-199 Lisboa, Portugal",Lisbon,Portugal,https://2monkeys.com.pt,https://thebestrestaurantsguide.com/restaurants/2monkeys
2nd Street Bistro,"123 N 2nd St, Livingston, MT 59047",Livingston,United States,https://www.murrayblock.com,https://thebestrestaurantsguide.com/restaurants/2nd-street-bistro
3 Fils,"Shop 02, Jumeirah Fishing Harbour - 1 Al Urouba St - Dubai - United Arab Emirates",Dubai,United Arab Emirates,https://www.3fils.com,https://thebestrestaurantsguide.com/restaurants/3-fils
3 Fils Abu Dhabi,Al Bateen - W35 - Abu Dhabi - United Arab Emirates,Abu Dhabi,United Arab Emirates,https://3fils.com,https://thebestrestaurantsguide.com/restaurants/3-fils-abu-dhabi
3 Sisters Eatery,"unit 1/41 Lygon St, Brunswick East VIC 3057, Australia",Melbourne,Australia,https://3sisterseatery.com.au,https://thebestrestaurantsguide.com/restaurants/3-sisters-eatery
311 Omakase,"605 Tremont St., Boston, MA, 02118, USA",Boston,United States,https://311boston.com,https://thebestrestaurantsguide.com/restaurants/311-omakase
33 The Homend,"33 The Homend, Ledbury HR8 1BP, UK",Ledbury,United Kingdom,https://www.33thehomendledbury.co.uk,https://thebestrestaurantsguide.com/restaurants/33-the-homend
34 Restaurant & Bar,"714 Baronne St, New Orleans, LA 70113, USA",New Orleans,United States,https://34restaurantandbar.com,https://thebestrestaurantsguide.com/restaurants/34-restaurant-and-bar
36 on the Quay,"47 South St, Emsworth PO10 7EG, United Kingdom",Emsworth,United Kingdom,https://www.36onthequay.com,https://thebestrestaurantsguide.com/restaurants/36-on-the-quay
36 Restaurant & Bar,"36 Main St, Cape Girardeau, MO 63701",Cape Girardeau,United States,https://www.36restaurantcape.com,https://thebestrestaurantsguide.com/restaurants/36-restaurant-and-bar
360°,"Bahnhofspl. 1a, 65549 Limburg an der Lahn, Germany",Limburg,Germany,https://www.restaurant360grad.de,https://thebestrestaurantsguide.com/restaurants/360
360 Bistro,"6000 TN-100, Nashville, TN 37205",Nashville,United States,https://www.360bistro.com,https://thebestrestaurantsguide.com/restaurants/360-bistro
360 Grille,"10 Hightower Pl, Florence, AL 35630",Florence,United States,https://www.marriott.com/en-us/hotels/mslmc-marriott-shoals-hotel-and-spa/dining,https://thebestrestaurantsguide.com/restaurants/360-grille
360 The Restaurant at the CN Tower,"290 Bremner Blvd, Toronto, ON M5V 3L9, Canada",Toronto,Canada,https://www.cntower.ca/dine-at-360-restaurant/360-overview,https://thebestrestaurantsguide.com/restaurants/360-the-restaurant-at-the-cn-tower
3rd Cousin,"919 Cortland Ave, San Francisco, CA 94110",San Francisco,United States,http://www.3rdcousinsf.com,https://thebestrestaurantsguide.com/restaurants/3rd-cousin
4 CHARLES,"4 Charles St, New York, NY 10014, USA",New York,United States,https://www.nycprimerib.com,https://thebestrestaurantsguide.com/restaurants/4-charles
4 Saints,"100 W. Tahquitz Canyon Way, Palm Springs, 92262, USA",Palm Springs,United States,https://www.4saintspalmsprings.com,https://thebestrestaurantsguide.com/restaurants/4-saints
40 Maltby Street,"40 Maltby St, London SE1 3PA, UK",London,United Kingdom,http://www.40maltbystreet.com,https://thebestrestaurantsguide.com/restaurants/40-maltby-street
40 Thieves (Bar),"Petitenget St No.7, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali 80361, Indonesia",Bali,Indonesia,https://www.google.com/maps/place/Petitenget%20St%20No.7%2C%20Kerobokan%20Kelod%2C%20Kuta%20Utara%2C%20Badung%20Regency%2C%20Bali%2080361%2C%20Indonesia,https://thebestrestaurantsguide.com/restaurants/40-thieves
400 Gradi ,"Viale Porta d'Europa, 65, 73100 Lecce LE, Italy",Lecce,Italy,http://www.pizzeria400gradi.it,https://thebestrestaurantsguide.com/restaurants/400-gradi
40Res,"40 Reservoir St, Surry Hills NSW 2010, Australia",Sydney,Australia,https://www.40res.com.au,https://thebestrestaurantsguide.com/restaurants/40res
42,"Széchenyi tér 23, Esztergom, 2500, Hungary",Esztergom,Hungary,https://42restaurant.hu,https://thebestrestaurantsguide.com/restaurants/42
48h Pizza e Gnocchi Bar,"373 Malvern Rd, South Yarra VIC 3141, Australia",Melbourne,Australia,https://www.48h.com.au,https://thebestrestaurantsguide.com/restaurants/48h-pizza-e-gnocchi-bar
4Roomed,"A, 605 Makabeni Rd, Khayelitsha, Cape Town, 7784, South Africa",Cape Town,South Africa,https://4roomedekasiculture.com,https://thebestrestaurantsguide.com/restaurants/4roomed
5 Gourmetrestaurant Stuttgart ,"Bolzstraße 8, 70173 Stuttgart, Germany",Stuttgart,Germany,https://www.5.fo,https://thebestrestaurantsguide.com/restaurants/5-gourmetrestaurant-stuttgart
50-50,"22 MacLean Street, Paraparaumu Beach, Wellington 5032, New Zealand",Wellington,New Zealand,https://www.50-50.co.nz,https://thebestrestaurantsguide.com/restaurants/50-50
50 Kalò,"Piazza Sannazaro, 201/c, 80121 Napoli NA, Italy",Naples,Italy,https://www.xn--50kal-yta.it,https://thebestrestaurantsguide.com/restaurants/50-kalo
50 Kalò London,"7 Northumberland Ave, London WC2N 5BY, United Kingdom",London,United Kingdom,https://www.50kalo.it/ciro__salvo.php,https://thebestrestaurantsguide.com/restaurants/50-kalo-london
529 Wellington,"529 Wellington Crescent, Winnipeg, MB R3M 0B9, Canada",Winnipeg,Canada,https://529wellington.ca,https://thebestrestaurantsguide.com/restaurants/529-wellington
53,"53 W 53rd St, New York, NY 10019",New York,United States,https://53-nyc.com,https://thebestrestaurantsguide.com/restaurants/53
6 Bears & A Goat Brewing Company,"1140 International Pkwy, Fredericksburg, VA 22406",Fredericksburg,United States,https://www.6bgbrewingco.com,https://thebestrestaurantsguide.com/restaurants/6-bears-and-a-goat-brewing-company
6HEAD,"7-27 Circular Quay W, The Rocks NSW 2000, Australia",Sydney,Australia,https://6head.com.au,https://thebestrestaurantsguide.com/restaurants/6-head
61 Osteria,"500 W 7th St, Fort Worth, TX 76102, USA",Fort Worth,United States,https://61osteria.com,https://thebestrestaurantsguide.com/restaurants/61-osteria
610 Magnolia," 610 W Magnolia Ave, Louisville, KY 40208",Louisville,United States,https://610magnolia.com,https://thebestrestaurantsguide.com/restaurants/610-magnolia
63 Clinton,"63 Clinton New York, NY, 10002",New York,United States,https://www.63clinton.com,https://thebestrestaurantsguide.com/restaurants/63-clinton
64 Goodge Street,"64 Goodge St, Greater, London W1T 4NF, UK",London,United Kingdom,https://64goodgestreet.co.uk,https://thebestrestaurantsguide.com/restaurants/64-goodge-street
64 Wine,"64 Glasthule Rd, Glasthule, Dún Laoghaire, Co. Dublin, A96 TH22, Ireland",Dublin,Ireland,https://64wine.ie,https://thebestrestaurantsguide.com/restaurants/64-wine
67 Pall Mall,"67 Pall Mall, London SW1Y 5ES, UK",London,United Kingdom,https://www.67pallmall.com/the-london-club,https://thebestrestaurantsguide.com/restaurants/67-pall-mall
6HEAD Perth,"1 The Esplanade, Perth WA 6000, Australia",Perth,Australia,https://6head.com.au/perth-restaurant,https://thebestrestaurantsguide.com/restaurants/6head-perth
7 Adams,"1963 Sutter St, San Francisco, CA 94115",San Francisco,United States,https://www.7adamsrestaurant.com,https://thebestrestaurantsguide.com/restaurants/7-adams
7 Mehmet,"Meltem Mah. Dumlupinar Bulv. No: 201 Antalya Kultur Parki, Antalya 07030 Türkiye",Antalya,Turkey,https://www.7mehmet.com,https://thebestrestaurantsguide.com/restaurants/7-mehmet
701West,"701 7th Ave 11th floor, New York, NY 10036",New York,United States,https://www.701westnyc.com,https://thebestrestaurantsguide.com/restaurants/701-west
71Above,"633 W 5th St 71st floor, Los Angeles, CA 90071",Los Angeles,United States,https://www.71above.com,https://thebestrestaurantsguide.com/restaurants/71-above
7132 Silver,"Poststrasse 560a, 7132 Vals, Switzerland",Vals,Switzerland,https://7132.com/en/7132-diverse-dining-vals,https://thebestrestaurantsguide.com/restaurants/7132-silver
715,"738 E. 3rd St., Los Angeles, 90013, USA",Los Angeles,United States,https://www.715sushi.com,https://thebestrestaurantsguide.com/restaurants/715
74 Charlotte Street by Ben Murphy,"74 Charlotte St., London W1T 4QH, UK",London,United Kingdom,https://74charlottestreet.com,https://thebestrestaurantsguide.com/restaurants/74-charlotte-street-by-ben-murphy
7th Door,"4F, 41 Hakdong-ro 97-gil, Cheongdam-dong, Gangnam-gu, Seoul, South Korea",Seoul,South Korea,https://www.7thdoor.kr,https://thebestrestaurantsguide.com/restaurants/7th-door
8 at Trinity,"81 Trinity Point Dr, Morisset Park NSW 2264, Australia",Morisset Park,Australia,https://8attrinitypoint.com.au,https://thebestrestaurantsguide.com/restaurants/8-at-trinity
“8” By Andrew Sheridan,"16 Cook St, Liverpool L2 9RF, UK",Liverpool,United Kingdom,https://restaurant8.co.uk,https://thebestrestaurantsguide.com/restaurants/8-by-andrew-sheridan
8½ Otto e Mezzo - Bombana,"Shop 202, 2F, Alexandra House, 18 Chater Road, Hong Kong",Hong Kong,Hong Kong,http://www.ottoemezzobombana.com,https://thebestrestaurantsguide.com/restaurants/8-otto-e-mezzo-bombana-hong-kong
8½ Otto e Mezzo - Bombana,"Shop 1031, 1F, Galaxy, The Promenade, Avenida de Cotai, Macau",Macau,Macau,https://www.galaxymacau.com/en/dining/restaurants,https://thebestrestaurantsguide.com/restaurants/8-otto-e-mezzo-bombana-macau
8 ½ Otto e Mezzo Bombana,"6-7F, Associate Mission Building, 169 Yuanmingyuan Road, Shanghai, China Mainland",Shanghai,China,http://www.ottoemezzobombana.com/shanghai,https://thebestrestaurantsguide.com/restaurants/8-otto-e-mezzo-bombana-shanghai
80 Thoreau,"80 Thoreau St, Concord, MA 01742",Concord,United States,https://www.80thoreau.com,https://thebestrestaurantsguide.com/restaurants/80-thoreau
801 Chophouse - Denver,"3000 E 1st Ave, Denver, CO 80206",Denver,United States,https://801chophouse.com/denver,https://thebestrestaurantsguide.com/restaurants/801-chophouse-denver
801 Chophouse - Des Moines,"801 Grand Ave Suite 200, Des Moines, IA 50309",Des Moines,United States,https://801chophouse.com/des-moines,https://thebestrestaurantsguide.com/restaurants/801-chophouse-des-moines
801 Chophouse - Kansas City Missouri,"71 E 14th St, Kansas City, MO 64106",Kansas City,United States,https://801chophouse.com/kansas-city,https://thebestrestaurantsguide.com/restaurants/801-chophouse-kansas-city-missouri
801 Chophouse - Leawood,"11616 Ash St, Leawood, KS 66211",Kansas City,United States,https://801chophouse.com/leawood,https://thebestrestaurantsguide.com/restaurants/801-chophouse-leawood
801 Chophouse - Minneapolis,"801 Nicollet Mall, Minneapolis, MN 55402",Minneapolis,United States,https://801chophouse.com/minneapolis,https://thebestrestaurantsguide.com/restaurants/801-chophouse-minneapolis
801 Chophouse - Omaha,"1403 Farnam St, Omaha, NE 68102",Omaha,United States,https://801chophouse.com/omaha,https://thebestrestaurantsguide.com/restaurants/801-chophouse-omaha
801 Chophouse - St. Louis,"137 Carondelet Plaza, Clayton, MO 63105",St. Louis,United States,https://801chophouse.com/st-louis,https://thebestrestaurantsguide.com/restaurants/801-chophouse-st-louis
801 Fish,"172 Carondelet Plaza, Clayton, MO 63105",St. Louis,United States,https://www.801fish.com,https://thebestrestaurantsguide.com/restaurants/801-fish
801 Fish Minneapolis,"800 Nicollet Mall, Minneapolis, MN 55402, USA",Minneapolis,United States,https://www.801fish.com,https://thebestrestaurantsguide.com/restaurants/801-fish-minneapolis
80/20 Eighty Twenty,"1052 Charoen Krung Road, Bangkok, 10500, Thailand",Bangkok,Thailand,https://www.8020bkk.com,https://thebestrestaurantsguide.com/restaurants/8020
+81 Aizome Bar,"259 Montague Rd, West End QLD 4101, Australia",Brisbane,Australia,https://www.plus81.com.au/aizome-bar,https://thebestrestaurantsguide.com/restaurants/81-aizome-bar
+81 Sushi Kappo,"259 Montague Rd, West End QLD 4101, Australia",Brisbane,Australia,https://www.plus81.com.au/sushi-kappo,https://thebestrestaurantsguide.com/restaurants/81-sushi-kappo
8oz Burger & Co — Ballard,"2409 NW Market St, Seattle, WA 98107",Seattle,United States,https://www.8ozburgerandco.com,https://thebestrestaurantsguide.com/restaurants/8oz-burger-and-co-ballard
8oz Burger & Co — Capitol Hill,"1401 Broadway, Seattle, WA 98122",Seattle,United States,https://www.8ozburgerandco.com,https://thebestrestaurantsguide.com/restaurants/8oz-burger-and-co-capitol-hill
99 Restaurante,"Andrés de Fuenzalida 99, Providencia, Santiago, Chile",Santiago,Chile,https://99restaurante.com,https://thebestrestaurantsguide.com/restaurants/99-restaurante
99 Sushi Bar,"The Galleria, Four Seasons Al Maryah Island Hotel, Abu Dhabi, United Arab Emirates",Abu Dhabi,United Arab Emirates,https://www.99sushibar.com/en/99-sushi-bar-abu-dhabi,https://thebestrestaurantsguide.com/restaurants/99-sushi-bar
9th Street Bistro,"56 S 9th St, Noblesville, IN 46060",Indianapolis,United States,https://9thstbistro.com,https://thebestrestaurantsguide.com/restaurants/9th-street-bistro
A,"4F, Building 2, Diamond Towers, Shin Kong Mitsukoshi, 282, Section 3, Zhongxiao East Road, Da'an District, Taipei, 106, Taiwan",Taipei,Taiwan,https://restaurant-a.com,https://thebestrestaurantsguide.com/restaurants/a
A Bar with Shapes for a Name,"232 Kingsland Rd, Whitmore Estate, London E2 8AX, United Kingdom",London,United Kingdom,https://www.clubbauhaus.com,https://thebestrestaurantsguide.com/restaurants/a-bar-with-shapes-for-a-name
A by Yuval Ben Neriah,"Derech Menachem Begin 121, Tel Aviv-Yafo, Israel",Tel Aviv,Israel,https://www.arestauranttlv.com,https://thebestrestaurantsguide.com/restaurants/a-by-yuval-ben-neriah
a canto,"3-1-10 Uchikyuhojimachi, Chuo-ku, Osaka, 540-0013, Japan",Osaka,Japan,https://www.a-canto.com,https://thebestrestaurantsguide.com/restaurants/a-canto
A Casa di Ma,"Route de Calvi, 20260 Lumio, France",Lumio,France,https://www.acasadima.com/restaurant-corse/la-table-di-ma,https://thebestrestaurantsguide.com/restaurants/a-casa-di-ma
A Casa do Porco,"Rua Araújo, 124, São Paulo, 01220-020, Brazil",São Paulo,Brazil,https://acasadoporco.com.br,https://thebestrestaurantsguide.com/restaurants/a-casa-do-porco
A Cozinha,"Largo do Serralho 4, 4810 Guimarães, Portugal",Guimarães,Portugal,https://restauranteacozinha.pt,https://thebestrestaurantsguide.com/restaurants/a-cozinha
A Cut,"63, Section 2, Zhongshan North Road, Taipei, 104, Taiwan, 10491",Taipei,Taiwan,https://www.ambassador-hotels.com/en/taipei/dining/a-cut-steakhouse#story,https://thebestrestaurantsguide.com/restaurants/a-cut
A Figueira Rubaiyat,"Rua Haddock Lobo, 1050-2147483646 - Cerqueira César, São Paulo - SP, 01414-002, Brazil",São Paulo,Brazil,https://gruporubaiyat.com,https://thebestrestaurantsguide.com/restaurants/a-figueira-rubaiyat
A Flower Blossom on the Rice,"3-6 Insadong 16-gil, Jongno-gu, Seoul, South Korea",Seoul,South Korea,https://www.google.com/maps/place/3-6%20Insadong%2016-gil%2C%20Jongno-gu%2C%20Seoul%2C%20South%20Korea,https://thebestrestaurantsguide.com/restaurants/a-flower-blossom-on-the-rice
La Grappe d'Or,"Route de Luxembourg 317, Arlon, 6700, Belgium",Arlon,Belgium,https://www.lagrappedor.com,https://thebestrestaurantsguide.com/restaurants/a-grappe-dor
A. Idsøe Grill & Berkel,"Verksgata 7, 4013 Stavanger, Norway",Stavanger,Norway,https://www.idsoe.no/restaurant,https://thebestrestaurantsguide.com/restaurants/a-idsoe-grill-and-berkel
