uid,name,type,city,country,address,lat,lng,phone,website,price,hours,bio,source_url
1582079,Vintage Cocktail Club,Bar,Dublin,Ireland,"15 Crown Alley, Temple Bar, Dublin, D02 E229",53.3450546,-6.2629108,+353 1 675 3547,https://vintagecocktailclub.com/,Average price per cocktail $17,Mon – Sun,"Ring the bell outside this discreet doorway in Temple Bar and you’ll find yourself transported to the 1920s, in the refined speakeasy that is the Vintage Cockta",https://www.the50.com/discovery/Establishments/Ireland/Dublin/Vintage-Cocktail-Club.html
1582100,Bar Cham,Bar,Seoul,South Korea,"34 Jahamun-ro 7-gil, Tongin-dong, Seoul,",37.5791322,126.9703701,+82 2 6402 4750,https://www.instagram.com/bar.cham/?hl=en,Average price per cocktail $17,Mon – Sun,"This hanok, or traditional Korean house, is a celebration of local spirits and flavours, seen through a modern lens, and served in an intimate setting. The comb",https://www.the50.com/discovery/Establishments/South-Korea/Seoul/Bar-Cham.html
1582103,Gimlet Nordic Cocktail Bar,Bar,Riga,Latvia,"Baznīcas iela 37, Centra rajons, Riga, LV-1010",56.9587714,24.1227521,+371 28 379 422,https://www.gimletnordic.com/,Average price per cocktail $10,Tues – Sat,"The Baltic region is distinctive, from its flavours to its aesthetic, and this cocktail bar in the central part of Riga embodies all of it. For a start, the dec",https://www.the50.com/discovery/Establishments/Latvia/Riga/Gimlet-Nordic-Cocktail-Bar.html
1582121,Xaman Bar,Bar,Ciudad de Mexico,Mexico,"Copenhague 6, Juárez, Cuauhtémoc, Ciudad de Mexico, 06600",19.4277993,-99.163843,+52 55 6810 6196,https://xaman.bar/,Average price per cocktail $10,Wed – Sat,"As you descend the stairs into this hidden basement bar, there’s the sensation of entering a magical space where potions are created, and anything can happen. I",https://www.the50.com/discovery/Establishments/Mexico/Mexico-City/Xaman-Bar.html
1582123,Arca,Bar,Tulum,Mexico,"Av. Boca Paila, Tulum Beach, Tulum, Quintana Roo, 77780",20.1493639,-87.4594833,+52 984 177 2231,https://arcatulum.com/,Average price per cocktail $18,Evening: Mon – Sun,"Yes, you really are in a restaurant built in the jungle, alongside a beach in Mexico, being served drinks and dishes that couldn’t better suit this truly unique",https://www.the50.com/discovery/Establishments/Mexico/Tulum/Arca.html
1582135,The Last Word,Bar,Christchurch,New Zealand,"Christchurch Central City, Christchurch, Canterbury , 8011",-43.5291138,172.6385803,+64 22 094 7445,http://www.lastword.co.nz/,,Mon – Sat,"Like its namesake drink, The Last Word is compact, consists of beautifully-balanced components and is a rather gorgeous shade of green – emerald, in this case.",https://www.the50.com/discovery/Establishments/New-Zealand/Christchurch/The-Last-Word.html
1582141,Amano,Bar,Panama,Panama,"Calle 70 Este, Casa No. 20, San Francisco, Panama,",8.9887332,-79.5082702,+507 388 9500,https://www.amanopanama.com/,Average price per cocktail $8,Tues – Sat,"Top-notch spirits, accessible yet interesting cocktails, and some damn fine drinking food, all in a relaxed, irreverent setting – Amano is essentially the neigh",https://www.the50.com/discovery/Establishments/Panama/Panama-City/Amano.html
1582149,The Royal Cocktail Club,Bar,Porto,Portugal,"Rua da Fábrica 105, Baixa, Porto, Norte, 4050-247",41.1475645,-8.6137382,+351 22 205 9123,https://www.facebook.com/theroyalcocktailclub/,Average price per cocktail $12,Mon – Sun,"As the name suggests, this is somewhere that cocktails aren’t taken lightly. Entering The Royal Cocktail Club you’ll find an intimate, sophisticated cocktail ba",https://www.the50.com/discovery/Establishments/Portugal/Porto/The-Royal-Cocktail-Club.html
1582165,Antique American Bar,Bar,Bratislava,Slovakia,"Rybárska brána 217/1, Old Town, Bratislava, 811 01",48.1429451,17.108656,+421 917 474 444,https://www.instagram.com/antiqueamericanbar_bratislava/?hl=en,Average price per cocktail $12,Mon – Sun,"Some things never go out of style – classy yet comfortable bars, impeccable service, classic cocktails, chandeliers… Antique American Bar has it all. This dimin",https://www.the50.com/discovery/Establishments/Slovakia/Bratislava/Antique-American-Bar.html
1582168,Zahir,Bar,Nitra,Slovakia,"Sládkovičova 300, Staré Mesto, Nitra, 949 01",48.3137747,18.0904366,+421 907 877 413,https://www.zahircafe.sk/,Average price per cocktail $9,Mon – Sat,"The small Slovakian town of Nitra is home to this world-class cocktail bar, which takes its inspiration from the style of American bars known around the globe,",https://www.the50.com/discovery/Establishments/Slovakia/Nitra/Zahir.html
1582184,Bitter & Twisted Cocktail Parlour,Bar,Phoenix,US,"1 West Jefferson Street, Warehouse District, Phoenix, Arizona, 85003",33.4469983,-112.0740456,+1 602 340 1924,https://bitterandtwistedaz.com/,Average price per cocktail $13,Evening: Tue – Sat,"The Bitter & Twisted Cocktail Parlour, created by the founder of Arizona Cocktail Weekend and former London Lab Bar alumni Ross Simon (whose portfolio of Phoeni",https://www.the50.com/discovery/Establishments/US/Phoenix/Bitter-and-Twisted-Cocktail-Parlour.html
1582205,Prizefighter,Bar,Emeryville,US,"6702 Hollis Street, Bay Street , Emeryville, California, 94608",37.849130899999984,-122.30087843001893,1 510 428 1470,https://www.prizefighterbar.com/,Average price per cocktail $12,"Evening: Mon – Sun, Covid Hours Evening: Wed – Sat",There's a hint of the dive bar about Prizefighter – and we mean that as only the highest of compliments – a fine dive bar is one of life's greatest pleasures. T,https://www.the50.com/discovery/Establishments/US/Emeryville/Prizefighter.html
1582210,Kimball House,Bar,Atlanta,US,"303 East Howard Avenue, Decatur, Atlanta, Georgia, 30030",33.771596,-84.2922819,1 404 378 3502,http://www.kimball-house.com/,Average price per cocktail $14,Evening: Tue – Sun,"Kimball House is a local institution. It opened in a converted train depot in 2013, named after a long-demolished icon of Atlanta hospitality, and has been a fi",https://www.the50.com/discovery/Establishments/US/Atlanta/Kimball-House.html
1582215,Proof,Bar,Calgary,Canada,"1302 1st Street South West, Victoria Park, Calgary, Alberta, T2R 0V7",51.040145290376415,-114.06780073089917,1 403 246 2414,https://www.proofyyc.com/,Average price per cocktail $13,All day & evening: Mon – Sun,"Proof describes itself as an old-school cocktail bar, and we're big fans of its authentic charm. The space itself is pretty stripped-back, which lets the drinks",https://www.the50.com/discovery/Establishments/Canada/Calgary/Proof.html
1582232,Front/Back,Bar,Accra,Ghana,"The Container Accra, First Osu Lane, Labone, Accra,",5.5637979,-0.1763722,,https://www.frontbackaccra.com/,Average price per cocktail $10,All day & evening: Tue – Sat,"Front/Back is a members' club hidden away in The Container art gallery. The gallery's artistic inspiration runs throughout the venue, with the decor, cultural p",https://www.the50.com/discovery/Establishments/Ghana/Accra/FrontBack.html
1582247,Pocket Food and Drinks,Bar,Escazú,Costa Rica,"Escazú de Panaderia Musmanni 175 Mts Sur Carretera a San Antonio, Escazú, 398-1250",9.9188889,-84.1394444,506 2289 3432,https://www.pocketcr.com/,Average price per cocktail $8,Evening: Mon – Sat All day & evening: Sun,"Everybody loves a gin bar, and Pocket is no exception. This isn't the kind of place you'll find gimmicks or themes, just really good drinks, and as a testament",https://www.the50.com/discovery/Establishments/Costa-Rica/Escazú/Pocket-Food-and-Drinks.html
1582249,Alquímico,Bar,Cartagena,Colombia,"Calle del Colegio 34-24, Cartagena, Ciudad Vieja, Cartagena, Bolívar,",10.4236436,-75.5495426,57 316 5331932,https://alquimico.com/,Average price per cocktail $9,Mon – Sun,"Alquímico is a true original. Housed within a beautiful Cartagenan mansion, it has three bars across three floors, with a different cocktail concept on each. The ground floor heroes ingredients fostered through the bar's work with local agricultural communities, beautifully shown off in the Ajonjonlí, a blend of whisky, sesame paste, orange and carrot cordial. The first floor menu focuses on classic cocktails with Colombian twists, while the rooftop terrace's output pays tribute to ingredients grown in a small estate run by the bar's owner: here, order the Xuan, a gin-based mix with chamomile and calendula. Of course, there’s a pumping reggaeton soundtrack to keep spirits up.",https://www.the50.com/discovery/Establishments/Colombia/Cartagena/Alquímico.html
1582253,Gedulgt,Bar,Aarhus,Denmark,"Fredensgade 41, Midtbyen, Aarhus, 8000",56.1527197,10.2087858,,https://www.gedulgtbar.dk/,Average price per cocktail $16,Evening: Thu – Sat,"Gedulgt is the Danish word for stealth, which stands to reason as this bar is a proper speakeasy, hidden away in a back alley behind an unmarked green door. Onc",https://www.the50.com/discovery/Establishments/Denmark/Aarhus/Gedulgt.html
1582259,Symbiose,Bar,Bordeaux,France,"4 Quai des Chartrons, Chartrons, Bordeaux, Nouvelle-Aquitaine, 33000",44.8490572,-0.570821,33 5 56 23 67 15,https://symbiose-bordeaux.com/,Average price per cocktail $15,Lunchtime: Mon Lunchtime & evening: Tue – Sat,"There's something organic about Symbiose, something timeless. The venue has its own garden, which provides ingredients as well as inspiration, and the rough-hew",https://www.the50.com/discovery/Establishments/France/Bordeaux/Symbiose.html
1582268,Jungle Cocktail Bar,Bar,Reykjavík,Iceland,"Austurstræti 9, Reykjavík, 101",64.14804116711285,-21.939430454481304,354 792 6969,https://jungle.is/,Average price per cocktail $21,Evening: Wed – Mon,"Jungle is a real 21st-century cocktail bar, with that Millennial penchant for statement wallpaper and lush greenery very much in evidence. This platonic ideal o",https://www.the50.com/discovery/Establishments/Iceland/Reykjavík/Jungle-Cocktail-Bar.html
1582279,One Trick Pony,Bar,Freiburg,Germany,"Oberlinden 8, Altstadt, Freiburg, 79098",47.99634008170275,7.842534925842277,49 761 61250351,https://onetrickpony.bar/,Average price per cocktail $15,Evening: Wed – Sat,"The team behind One Trick Pony in the little German city of Freiberg describe their ethos as 'Fine drinks & diving', and it's that sweet spot between dive bars",https://www.the50.com/discovery/Establishments/Germany/Freiburg/One-Trick-Pony.html
1582281,The Chug Club,Bar,Hamburg,Germany,"Taubenstraße 13, Hamburg, 20359",53.5482075,9.9650009,49 40 35735130,https://www.thechugclub.bar/,Average price per cocktail $14,Evening: Wed – Sat,"The Chug Club is a shrine to agave, complete with stained glass windows and a distinctly churchlike back bar. A proper good time joint, there are tables outside",https://www.the50.com/discovery/Establishments/Germany/Hamburg/The-Chug-Club.html
1582282,Toddy Tapper,Bar,Cologne,Germany,"Schillingstraße 27, Agnesviertel, Cologne, 50670",50.9519944,6.958062699999999,49 221 44707408,https://www.facebook.com/Toddy-Tapper-1145693548831971/,Average price per cocktail $13,Evening: Mon – Sat,"Sri Lankan-born bartender Indika Silva's Cologne cocktail bar is named after the daredevil toddy tappers of his home country, who climb up and down the tallest",https://www.the50.com/discovery/Establishments/Germany/Cologne/Toddy-Tapper.html
1582291,Widder Bar,Bar,Zurich,Switzerland,"Widdergasse 6, District 1 , Zurich, 8001 Zürich",47.37222880000002,8.539780800000006,+41 44 224 25 26,https://www.widderhotel.com/en/,Average price per cocktail $27,All day: Mon – Sun Covid Hours Evening: Mon – Sun,"The bartenders need to use a ladder to reach the upper limits of this classy back bar, so replete is its liquid offering. Whether you’re a whisky connoisseur, g",https://www.the50.com/discovery/Establishments/Switzerland/Zurich/Widder-Bar.html
1582292,Baker's Bar,Bar,Montevideo,Uruguay,"Dr. Pablo de María 1198, Cordón, Montevideo, Departamento de Montevideo, 11200 Montevideo",-34.906299980382336,-56.17293268476224,+598 92 201 198,https://www.instagram.com/bakers_mvd/,Average price per cocktail $11,Evening: Mon – Sat,Wander the streets of Montevideo’s convivial Cordón district and look for the spill of locals taking perch at this corner bar’s street-side tables and you’ll kn,https://www.the50.com/discovery/Establishments/Uruguay/Montevideo/Bakers-Bar.html
1582325,Buddha-Bar,Bar,Dubai,United Arab Emirates,"Grosvenor House Dubai, Al Emreef St, Dubai Marina, Dubai, Dubai,",25.086031583948007,55.14183901500728,+971 4317 6000,https://www.buddhabar-dubai.com/,Average price per cocktail $18,Evening: Mon – Sun Afternoon: Fri,The phrase ‘go big or go home’ is made incarnate at this dramatic hot spot comprising three drinking haunts set within the Grosvenor House hotel on Dubai Marina,https://www.the50.com/discovery/Establishments/United-Arab-Emirates/Dubai/Buddha-Bar.html
1582332,Drinking & Healing,Bar,Ho Chi Minh City,Vietnam,"25 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, District 1, Ho Chi Minh City, 700000",10.770513,106.70446,+84 93 411 01 10,http://drinkinghealing.com/,Average price per cocktail $9,Evening: Thur – Sun,"You could imagine yourself in NYC as you heave the metal door of this colonial building back to reveal a large Brooklynesque blueprint of abundant raw brick, wa",https://www.the50.com/discovery/Establishments/Vietnam/Ho-Chi-Minh-City/Drinking-and-Healing.html
1584122,Hybrid,Bar,Nha Trang,Vietnam,"51/19/2 Tuệ Tĩnh, Lộc Thọ, Nha Trang, Khánh Hòa, 650000",12.230017091345434,109.19444821481432,,https://www.instagram.com/hybrid_nhatrang/?hl=en,Average price per cocktail $11,Evening: Mon - Sun,"A curvaceous mirrored exterior, dark interior walls, midnight blue velvet, waves of strip lights and craggy rock-formation bar – Hybrid bridges the void between",https://www.the50.com/discovery/Establishments/Vietnam/Nha-Trang/Hybrid.html
1604097,Tiki Bar MDQ,Bar,Mar del Plata,Argentina,"Leandro N. Alem 3690, Mar del Plata, Buenos Aires, B7602GDE",-38.02748657971418,-57.5377968843251,,https://www.instagram.com/tikibarmdq/?hl=en,Average price per cocktail $6,Thu – Sun,"Tropical bar culture is alive and well in Argentina’s Mar del Plata, specifically in the resort town’s simply named Tiki Bar Mar del Plata. And what a setting f",https://www.the50.com/discovery/Establishments/Argentina/Mar-del-Plata/Tiki-Bar-MDQ.html
1604099,Ark Lounge,Bar,Aomori,Japan,"8 やま正ビル, Hachinohe, Aomori, Tōhoku, 031-0033",40.508821,141.48924608094845,+81 178 24 5310,https://www.instagram.com/arkloungebar/?hl=en,Average price per cocktail $12,Mon – Sun,"Among those Japanese bars flying the flag for top-end cocktails outside Tokyo is Ark Lounge, located in Hachinohe, on the coast of Honshu Island. Having now bee",https://www.the50.com/discovery/Establishments/Japan/Aomori/Ark-Lounge.html
1604101,Bar D,Bar,Kanagawa,Japan,"2 Chome-8-15 Katasekaigan, Fujisawa, Kanagawa, Kantō, 251-0035",35.30868438028283,139.48179471561113,+81 466 53 9099,,Average price per cocktail $18,Mon – Sun,"Located in Fujisawa, in the Kanagawa prefecture of Japan, is this relaxed drinking den, in a convenient location from the station. Bar D offers comfortable seat",https://www.the50.com/discovery/Establishments/Japan/Kanagawa/Bar-D.html
1604110,Bekeb,Bar,San Miguel de Allende,Mexico,"Calz. De La Presa No. 85, Zona Centro, San Miguel de Allende, Guanajuato, 37700",20.915455786059766,-100.74310938465432,+52 415 688 1355,https://www.instagram.com/bekeb_sma/,Average price per cocktail $13,Weds – Mon,"For full immersion in the flavours and culture of Mexico, rooftop bar Bekeb Artisanal Mixology in San Miguel de Allende is the place to be. The bar’s name refer",https://www.the50.com/discovery/Establishments/Mexico/San-Miguel-de-Allende/Bekeb.html
1604132,Chapeau 1987,Bar,Palma,Spain,"Passeig de Mallorca, 24, Palma, Mallorca, 07012",39.57356707947208,2.6415005157128557,+34 871 90 43 87,https://www.facebook.com/Chapeau1987,Average price per cocktail $12,Mon – Sun,"One of Palma de Mallorca’s finest drinking establishments, this is an essential destination for whisky lovers, not to mention those who appreciate expertly-craf",https://www.the50.com/discovery/Establishments/Spain/Palma/Chapeau-1987.html
1604143,Schofield's,Bar,Manchester,UK,"3 Little Quay Street Sunlight House, Deansgate, Manchester, M3 3JZ",53.47883018000702,-2.2522694838922015,+44 7311 777606,https://www.schofieldsbar.com/,Average price per cocktail $13,Wed – Sun,This long-awaited cocktail bar from industry veterans Joe and Daniel Schofield saw the brothers return to their hometown of Manchester. In keeping with its loca,https://www.the50.com/discovery/Establishments/UK/Manchester/Schofields.html
1604176,Sputnik,Bar,Sofia,Bulgaria,"Yanko Sakazov 17, Oborishte, Sofia, 1527",42.69832497916567,23.340195715793488,+359 88 498 2098,http://www.sputnikcocktailbar.com/en/,Average price per cocktail $7,Mon – Sun,"Calling all stargazers and would-be astronauts… Sputnik offers a journey that’s out of this world, drawing on astronomy and space travel for inspiration, as wel",https://www.the50.com/discovery/Establishments/Bulgaria/Sofia/Sputnik.html
1604191,Black Angel's Bar,Bar,Prague,Czech Republic,"Staroměstské nám. 29, Staré Město, Prague, 110 00",50.086499979426826,14.418011316003293,+420 224 213 807,https://www.blackangelsbar.com/en/,Average price per cocktail $10,Mon – Sun,"Prohibition wasn’t only a problem for American cocktail drinkers in the 1930s. At the same time, bartender Alois Krcha was running a public house in Prague when",https://www.the50.com/discovery/Establishments/Czech-Republic/Prague/Black-Angels-Bar.html
1604205,UnderTow,Bar,Phoenix,US,"3626 E Indian School Rd, Suite 100, Arcadia, Phoenix, Arizona, 85018",33.4954818,-112.0029942,+1 602 739 1388,https://drinkundertow.com/,Average price per cocktail $16,Tue — Sun,"With an interior design scheme that recreates the hull of an ancient pirate ship, Undertow is Phoenix’s premiere subterranean cocktail bar. Located beneath Bart",https://www.the50.com/discovery/Establishments/US/Phoenix/UnderTow.html
1604212,Dear Friend Bar,Bar,Dartmouth,Canada,"67 Portland St, Downtown, Dartmouth, Nova Scotia, NS B2Y 1H1",44.665527294294364,-63.56911934828078,,https://www.dearfriendbar.com/,Average price per cocktail $14,Mon — Sun,"From cocktail catering company to full bricks-and-mortar, Matt Boyle and Jeffrey Van Horne of The Clever Barkeep opened Dear Friend in downtown Dartmouth, Nova",https://www.the50.com/discovery/Establishments/Canada/Dartmouth/Dear-Friend-Bar.html
1604214,Highwayman,Bar,Halifax,Canada,"1673 Barrington St, Downtown, Halifax, Nova Scotia, NS B3J 1Z9",44.64724126448235,-63.58136111161489,+1 902 407 5260,https://www.highwaymanhfx.com/,Average price per cocktail $14,Mon — Sat,"Named after the Alfred Noyes poem, Highwayman is a contemporary American cocktail bar with an old European soul. Housed in a historic mid-Victorian Italianate b",https://www.the50.com/discovery/Establishments/Canada/Halifax/Highwayman.html
1604221,Wind Cries Mary,Bar,Victoria,Canada,"45 Bastion Square, Downtown, Victoria, British Columbia, BC V8W 1J1",48.423848435192745,-123.37412210832379,+1 250 590 8989,https://www.windcriesmary.ca/,Average price per cocktail $17,Mon — Sun,"Turn-of-the-century exposed brick walls give a weathered comfort to Wind Cries Mary, a charming Bastion Square neighborhood bar and restaurant in a historic bui",https://www.the50.com/discovery/Establishments/Canada/Victoria/Wind-Cries-Mary.html
1604230,Blossom Bar,Bar,Brookline,US,"295 Washington St, Emerson Gardens, Brookline, Massachusetts, 02445",42.33342524477451,-71.12160818384577,+1 617 734 1870,https://www.blossombarbrookline.com/,Average price per cocktail $14,Mon — Sun,"Sichuan Garden served reliable Chinese food to the Brookline Village community from 1997 to 2017, when a sweeping remodel shifted the focus of the space to Blos",https://www.the50.com/discovery/Establishments/US/Brookline/Blossom-Bar.html
1604234,Sunken Harbor Club,Bar,Brooklyn,US,"372 Fulton Street, 2nd Floor, Downtown Brooklyn, Brooklyn, New York, 11201",40.691317000000005,-73.98786100000002,+1 347 689 3677,https://www.gageandtollner.com/sunken-harbor-club/,Average price per cocktail $20,Wed — Sun,"Before finding a permanent home in the cozy second-floor alcove above Gage & Tollner restaurant in Brooklyn, Sunken Harbor Club began as a pop-up series at Red",https://www.the50.com/discovery/Establishments/US/Brooklyn/Sunken-Harbor-Club.html
1604262,La Borracha,Bar,Accra,Ghana,"Dade Street, Cantonments, Accra,",5.57366389593921,-0.17483334855557225,+233 54 829 0039,https://www.laborrachaghana.com/,Average price per cocktail $5,Mon — Sun,"Fresh margaritas take top billing at La Borracha (Spanish slang for drunk), a Mexican-inspired cantina that opened in Ghana's capital in 2021. With sweeping mur",https://www.the50.com/discovery/Establishments/Ghana/Accra/La-Borracha.html
1604268,Ulew Cocktail Bar,Bar,Antigua,Guatemala,"3 Poniente, Central Park, Antigua,",14.558359989779403,-90.73690804851202,+502 3011 0627,http://ulew.com.gt/,Average price per cocktail $8,Tue — Sun,"As the premier cocktail bar in Antigua, Guatemala, Ulew Cocktail Bar is an 'enter through the phone booth' speakeasy with an atmosphere that feels more like a c",https://www.the50.com/discovery/Establishments/Guatemala/Antigua/Ulew-Cocktail-Bar.html
